year,gross_output,women_land_share,youth_neet_rate,rural_internet_share,poverty_rate,employment_women,employment_total,investment_agri,gov_support_index,agri_land_area_mha,labor_productivity,undernourishment_rate,profitability,agri_gdp_share,net_profit
2015,3307009.6,4.06,9.6,68.3,4.4,598.7,1362.9,163907.0,0.6,97.3,1242.3,2.5,28.5,4.8,1198642.0
2016,3684393.2,2.72,9.2,70.9,4.2,613.0,1385.5,253691.0,0.7,99.1,1401.9,3.7,36.1,4.6,1419199.3
2017,4070916.8,2.21,8.4,73.9,4.6,575.9,1319.0,348481.0,0.8,104.1,1735.9,3.0,31.6,4.6,1558451.4
2018,4474088.1,2.21,6.9,77.5,6.7,529.8,1228.2,365001.0,0.6,105.3,2076.6,3.7,31.1,4.4,1749562.0
2019,5151163.0,2.25,6.0,81.4,6.6,502.9,1184.7,494976.0,0.8,106.4,2466.0,3.1,34.2,4.4,1975215.3
2020,6334668.8,1.57,5.0,85.5,7.6,497.8,1175.1,565369.0,…,108.6,3004.8,4.2,39.6,5.4,2522874.9
2021,7515433.5,1.55,5.7,90.7,7.2,496.1,1176.4,772475.0,…,114.0,3350.7,0.3,37.8,5.1,2782452.0
2022,8367689.6,1.77,5.9,91.8,7.3,453.3,1108.9,850346.0,0.6,116.0,4608.2,0.4,44.9,5.2,3572205.6
2023,7576533.7,1.63,4.8,93.2,7.0,441.6,1078.7,904264.0,0.5,116.4,4235.3,0.5,24.9,3.8,3298401.4
2024,8310976.7,1.53,6.7,93.3,6.9,408.8,1027.9,737890.5,0.5,117.1,5074.1,0.6,23.0,3.8,3788066.5
