variable,coefficient,std_err,p_value,model
const,-978890.4707007408,990458.7045739621,0.5037395510167509,OLS
investment_agri,1.6150053631038617,0.2619820911515679,0.10237904965790648,OLS
labor_productivity,2062.751625644676,477.0507470810353,0.14468674471801668,OLS
employment_total,1851.1879117001517,865.0139636131181,0.278283465709566,OLS
gov_support_index,-394299.28848800715,178264.8075776928,0.27031087864044956,OLS
profitability,21445.3624699575,2312.2933443248467,0.06837779428879225,OLS
net_profit,-1.2059886164071258,0.6625106253638935,0.31980246021889136,OLS
intercept,-803619.8906079149,,,LinearRegression
investment_agri,0.2881244401990321,,,LinearRegression
labor_productivity,2263.9983199729536,,,LinearRegression
employment_total,1363.3260573183875,,,LinearRegression
gov_support_index,264.23445360975006,,,LinearRegression
profitability,30183.664944341705,,,LinearRegression
net_profit,-1.2244117176096552,,,LinearRegression
intercept,4842543.383333334,,,Ridge
investment_agri,360832.1571502534,,,Ridge
labor_productivity,384396.3651470712,,,Ridge
employment_total,-254909.75091959332,,,Ridge
gov_support_index,-71773.39381182486,,,Ridge
profitability,278207.73884887435,,,Ridge
net_profit,384033.32455407555,,,Ridge
intercept,4842543.383333335,,,Lasso
investment_agri,331696.2184986358,,,Lasso
labor_productivity,2464629.61710379,,,Lasso
employment_total,178265.22327359946,,,Lasso
gov_support_index,-35711.57463456295,,,Lasso
profitability,146518.6959439971,,,Lasso
net_profit,-1091751.7866734376,,,Lasso
intercept,4842543.383333334,,,ElasticNet
investment_agri,350471.2574991395,,,ElasticNet
labor_productivity,367352.8723913069,,,ElasticNet
employment_total,-265737.7181286487,,,ElasticNet
gov_support_index,-72583.4259060113,,,ElasticNet
profitability,285166.94983891514,,,ElasticNet
net_profit,367434.66830204637,,,ElasticNet
