year,scenario,model,gross_output_pred
2025,pessimistic,LinearRegression,8485323.05892877
2026,pessimistic,LinearRegression,8617651.775583785
2027,pessimistic,LinearRegression,8751303.779405352
2028,pessimistic,LinearRegression,8886292.303265132
2029,pessimistic,LinearRegression,9022630.712363511
2030,pessimistic,LinearRegression,9160332.50555287
2025,pessimistic,Ridge,7409002.726425707
2026,pessimistic,Ridge,7407973.627197944
2027,pessimistic,Ridge,7406934.2369779
2028,pessimistic,Ridge,7405884.452855658
2029,pessimistic,Ridge,7404824.170892192
2030,pessimistic,Ridge,7403753.286109092
2025,pessimistic,Lasso,8338085.013277709
2026,pessimistic,Lasso,8477874.772957755
2027,pessimistic,Lasso,8619062.4302346
2028,pessimistic,Lasso,8761661.964084215
2029,pessimistic,Lasso,8905687.493272329
2030,pessimistic,Lasso,9051153.277752321
2025,pessimistic,ElasticNet,7321453.334457202
2026,pessimistic,ElasticNet,7318122.55055674
2027,pessimistic,ElasticNet,7314758.4588172715
2028,pessimistic,ElasticNet,7311360.726160409
2029,pessimistic,ElasticNet,7307929.016176978
2030,pessimistic,ElasticNet,7304462.989093713
2025,base,LinearRegression,8747360.121611968
2026,base,LinearRegression,9152207.383457508
2027,base,LinearRegression,9569200.063158412
2028,base,LinearRegression,9998702.523250345
2029,base,LinearRegression,10441090.057145037
2030,base,LinearRegression,10896749.217056565
2025,base,Ridge,7406964.906172708
2026,base,Ridge,7403816.473881822
2027,base,Ridge,7400573.588622211
2028,base,Ridge,7397233.416804811
2029,base,Ridge,7393793.039832889
2030,base,Ridge,7390249.45155181
2025,base,Lasso,8614896.41858473
2026,base,Lasso,9042570.039784081
2027,base,Lasso,9483073.86961941
2028,base,Lasso,9936792.8143498
2029,base,Lasso,10404123.3274221
2030,base,Lasso,10885473.755886568
2025,base,ElasticNet,7314857.722773118
2026,base,ElasticNet,7304667.502721205
2027,base,ElasticNet,7294171.576067736
2028,base,ElasticNet,7283360.771614663
2029,base,ElasticNet,7272225.643027998
2030,base,ElasticNet,7260756.4605837315
2025,optimistic,LinearRegression,9009397.184295163
2026,optimistic,LinearRegression,9697244.473838557
2027,optimistic,LinearRegression,10419484.12785912
2028,optimistic,LinearRegression,11177835.764580704
2029,optimistic,LinearRegression,11974104.983138371
2030,optimistic,LinearRegression,12810187.662623923
2025,optimistic,Ridge,7404927.085919708
2026,optimistic,Ridge,7399577.807755583
2027,optimistic,Ridge,7393961.065683251
2028,optimistic,Ridge,7388063.486507304
2029,optimistic,Ridge,7381871.028372558
2030,optimistic,Ridge,7375368.9473310765
2025,optimistic,Lasso,8891707.823891751
2026,optimistic,Lasso,9618337.762822684
2027,optimistic,Lasso,10381299.198700167
2028,optimistic,Lasso,11182408.706371516
2029,optimistic,Lasso,12023573.689426439
2030,optimistic,Lasso,12906796.921634106
2025,optimistic,ElasticNet,7308262.111089032
2026,optimistic,ElasticNet,7290948.630418308
2027,optimistic,ElasticNet,7272769.475714048
2028,optimistic,ElasticNet,7253681.363274575
2029,optimistic,ElasticNet,7233638.845213128
2030,optimistic,ElasticNet,7212594.20124861
2025,pessimistic,ARIMA,8939435.002216626
2026,pessimistic,ARIMA,8939435.002216626
2027,pessimistic,ARIMA,8939435.002216626
2028,pessimistic,ARIMA,8939435.002216626
2029,pessimistic,ARIMA,8939435.002216626
2030,pessimistic,ARIMA,8939435.002216626
2025,base,ARIMA,8939435.002216626
2026,base,ARIMA,8939435.002216626
2027,base,ARIMA,8939435.002216626
2028,base,ARIMA,8939435.002216626
2029,base,ARIMA,8939435.002216626
2030,base,ARIMA,8939435.002216626
2025,optimistic,ARIMA,8939435.002216626
2026,optimistic,ARIMA,8939435.002216626
2027,optimistic,ARIMA,8939435.002216626
2028,optimistic,ARIMA,8939435.002216626
2029,optimistic,ARIMA,8939435.002216626
2030,optimistic,ARIMA,8939435.002216626
