year,region_id,region_name,region_id_en,region_name_en,region_raw_source,year,women_farms,credit_kaf,credit_acc,credit_fund,credit_total,land_share,log_women_farms,log_credit_total,Total_Rows,Region_Count
2015,0,0,0,0,0,0,0,1,2,1,0,1,0,0,15,15
2016,0,0,0,0,0,0,0,4,3,2,2,2,0,2,16,16
2017,0,0,0,0,0,0,0,2,4,2,1,2,0,1,16,16
2018,0,0,0,0,0,0,0,2,3,3,1,3,0,1,17,17
2019,0,0,0,0,0,0,0,3,4,0,0,3,0,0,17,17
2020,0,0,0,0,0,0,0,3,0,0,0,3,0,0,17,17
2021,0,0,0,0,0,0,0,1,3,0,0,3,0,0,17,17
2022,0,0,0,0,0,0,0,2,3,20,1,3,0,1,20,20
2023,0,0,0,0,0,0,0,1,0,20,0,3,0,0,20,20
2024,0,0,0,0,0,0,0,1,0,20,0,3,0,0,20,20
