region_id,region_name,region_id_en,region_name_en,region_raw_source,year,women_farms,credit_kaf,credit_acc,credit_fund,credit_total,land_share,log_women_farms,log_credit_total
Shymkent,Shymkent,shymkent,Shymkent,г. Шымкент,2018,621,,,,,,6.432940092739179,
Shymkent,Shymkent,shymkent,Shymkent,г. Шымкент,2019,667,,,138.8,138.8,,6.504288173536645,4.94021282979971
Shymkent,Shymkent,shymkent,Shymkent,г. Шымкент,2020,1002,32.5,2226.2,314.0,2572.7,,6.910750787961935,7.853099831247029
Shymkent,Shymkent,shymkent,Shymkent,г. Шымкент,2021,923,79.0,,491.0,570.0,,6.828712071641684,6.34738920965601
Shymkent,Shymkent,shymkent,Shymkent,г. Шымкент,2022,1641,61.0,,,61.0,,7.403670290012373,4.127134385045092
Shymkent,Shymkent,shymkent,Shymkent,г. Шымкент,2023,2341,,1677.0,,1677.0,,7.758760544157663,7.425357887027151
Shymkent,Shymkent,shymkent,Shymkent,г. Шымкент,2024,2388,,10831.0,,10831.0,,7.778630147325809,9.290259995152056
Turkestan_region,Turkestan region,turkestan,Turkestan,Туркестанская; Южно-Казахстанская,2015,13321,149.4,617.3,2084.0,2850.7,0.88,9.497172082973124,7.955670586660586
Turkestan_region,Turkestan region,turkestan,Turkestan,Туркестанская; Южно-Казахстанская,2016,13550,68.4,5448.8,392.9,5910.099999999999,1.49,9.514215624322713,8.684587218292501
Turkestan_region,Turkestan region,turkestan,Turkestan,Туркестанская; Южно-Казахстанская,2017,14303,37.8,2589.6,1558.0,4185.4,1.61,9.568294497413294,8.339596455057997
Turkestan_region,Turkestan region,turkestan,Turkestan,Туркестанская; Южно-Казахстанская,2018,14926,276.4,3801.3,1227.8,5305.5,1.44,9.61092693263324,8.576687763201877
Turkestan_region,Turkestan region,turkestan,Turkestan,Туркестанская; Южно-Казахстанская,2019,15650,1765.0,2672.8,2072.9,6510.700000000001,1.43,9.658290091690501,8.781355837825108
Turkestan_region,Turkestan region,turkestan,Turkestan,Туркестанская; Южно-Казахстанская,2020,15600,972.9,1283.0,1844.1,4100.0,1.12,9.655090293747248,8.318986125392058
Turkestan_region,Turkestan region,turkestan,Turkestan,Туркестанская; Южно-Казахстанская,2021,15927,963.0,6179.0,2691.0,9833.0,1.12,9.675833845744032,9.193601047971885
Turkestan_region,Turkestan region,turkestan,Turkestan,Туркестанская; Южно-Казахстанская,2022,18065,1471.0,9202.2,,10673.2,3.34,9.801786997709788,9.275584893836584
Turkestan_region,Turkestan region,turkestan,Turkestan,Туркестанская; Южно-Казахстанская,2023,20551,1941.0,8327.0,,10268.0,3.34,9.93071353878972,9.236884927198295
Turkestan_region,Turkestan region,turkestan,Turkestan,Туркестанская; Южно-Казахстанская,2024,20253,1961.0,11139.0,,13100.0,2.17,9.91610758389223,9.48044384215367
Абай,Абай,abai,Abai,Абай,2022,2417,1333.0,1708.2,,3041.2,2.76,7.790696031174738,8.020336216877642
Абай,Абай,abai,Abai,Абай,2023,2717,1954.0,2090.0,,4044.0,0.75,7.907651594711089,8.305236829492591
Абай,Абай,abai,Abai,Абай,2024,2739,1827.0,2568.0,,4395.0,1.53,7.915713199382115,8.388450315523512
Акмолинская,Акмолинская,akmola,Akmola,Акмолинская,2015,563,636.2,2363.0,399.9,3399.1,4.9,6.335054251498058,8.131560121936442
Акмолинская,Акмолинская,akmola,Akmola,Акмолинская,2016,593,1718.0,1019.3,437.5,3174.8,4.92,6.386879319362644,8.063314848091997
Акмолинская,Акмолинская,akmola,Akmola,Акмолинская,2017,759,887.0,809.8,623.0,2319.8,3.75,6.633318433280377,7.749667232807194
Акмолинская,Акмолинская,akmola,Akmola,Акмолинская,2018,978,1136.2,8721.6,1177.7,11035.5,3.21,6.88653164253051,9.308963240581265
Акмолинская,Акмолинская,akmola,Akmola,Акмолинская,2019,1566,1030.0,4487.2,1341.3,6858.5,3.17,7.356918242356021,8.833389831766219
Акмолинская,Акмолинская,akmola,Akmola,Акмолинская,2020,1490,1198.7,1045.0,1265.8,3509.5,1.74,7.307202314764738,8.163513756457304
Акмолинская,Акмолинская,akmola,Akmola,Акмолинская,2021,1528,2281.0,2335.0,1329.0,5945.0,1.6,7.332369205929062,8.690474003558043
Акмолинская,Акмолинская,akmola,Akmola,Акмолинская,2022,1714,3952.0,7596.0,,11548.0,1.53,7.44716835960004,9.354354132115088
Акмолинская,Акмолинская,akmola,Akmola,Акмолинская,2023,1859,4215.0,6423.0,,10638.0,1.53,7.528331766707247,9.272281773516365
Акмолинская,Акмолинская,akmola,Akmola,Акмолинская,2024,1777,4636.0,10831.0,,15467.0,1.29,7.48324441607385,9.646528652727188
