region_name_en,Avg_Women_Farms,Avg_Credit_Total,Avg_Land_Share,N_Obs
Turkestan,16214.6,7273.66,1.79,10
Almaty Region,11364.3,6141.98,3.44,10
Jetisu,5536.67,4719.6,3.91,3
Zhambyl,5315.7,3972.52,1.16,10
East Kazakhstan,3243.7,2847.2,3.9,10
Abai,2624.33,3826.73,1.68,3
Kyzylorda,2448.6,2001.97,0.23,10
Karaganda,2129.6,3131.66,2.39,10
Aktobe,1681.0,3446.3,0.72,10
Kostanay,1656.6,5955.49,1.48,10
West Kazakhstan,1613.1,2626.21,6.19,10
Shymkent,1369.0,2641.75,,7
Akmola,1282.7,7389.52,2.76,10
North Kazakhstan,1022.2,3955.25,2.1,10
Ulytau,1010.33,633.4,1.43,3
Pavlodar,890.6,3673.92,0.22,10
Atyrau,739.9,1399.73,1.32,10
Mangystau,651.0,872.48,0.13,10
Almaty City,524.2,1112.08,,10
Astana City,269.89,11147.5,,9
